platfID,time,latitude,longitude,VAVH,valueQC,N_cross,mooring_ref,distance
Sentinel-6A,2024-02-29 21:02:05,56.45696,3.371071,1.835,1,13,Ekofisk,13.164780583431307
Sentinel-6A,2024-03-30 14:57:42,56.470974,3.37838,1.176,1,19,Ekofisk,12.412407800343928
Sentinel-6A,2024-05-30 09:03:03,56.2546,2.683819,1.0480001,1,31,Ekofisk,46.22428006275837
Sentinel-6A,2024-06-29 02:58:40,56.26211,2.658166,1.8040001,1,37,Ekofisk,46.80834509142303
Sentinel-6A,2024-06-12 06:12:50,58.53175,0.967945,2.743,1,34,6200130,26.82779539410567
Sentinel-6A,2024-06-22 04:11:23,58.509094,1.011645,0.85600007,1,36,6200130,27.011225609807674
Sentinel-6A,2024-07-31 14:14:53,58.444992,1.671825,1.051,1,43,6200130,35.61982606198117
Sentinel-6A,2024-07-31 20:05:30,58.510178,1.01891,0.75600004,1,44,6200130,26.657343772085643
Sentinel-6A,2024-08-20 10:11:56,58.457115,1.704777,2.6060002,1,47,6200130,35.77674378161676
Sentinel-6A,2024-08-20 16:02:32,58.528183,0.97552,2.1330001,1,48,6200130,26.79716572692228
Sentinel-6A,2024-08-30 08:10:27,58.461803,1.71327,1.7760001,1,49,6200130,35.71218721929958
Sentinel-6A,2024-08-30 14:01:03,58.524998,0.986821,1.6940001,1,50,6200130,26.60092609469874
Sentinel-6A,2024-09-19 04:07:31,58.543255,1.888337,0.64000005,1,53,6200130,38.26322073274058
Sentinel-6A,2024-09-19 09:58:01,58.653416,0.717651,0.609,1,54,6200130,34.05960704208314
Sentinel-6A,2024-09-29 02:06:01,58.44595,1.669834,2.9870002,1,55,6200130,35.46499630257781
Sentinel-6A,2024-09-29 07:56:38,58.51553,1.022542,2.414,1,56,6200130,26.057624435901303
Sentinel-6A,2024-10-18 22:03:06,58.451595,1.689294,2.263,1,59,6200130,35.66892086838019
Sentinel-6A,2024-10-19 03:53:43,58.503326,1.033392,2.3720002,1,60,6200130,26.772951283798946
Sentinel-6A,2024-10-28 20:01:38,58.458546,1.704496,1.7140001,1,61,6200130,35.645747827556654
Sentinel-6A,2024-10-29 01:52:14,58.528587,0.972818,1.774,1,62,6200130,26.87516327804814
Sentinel-6A,2024-11-17 15:58:41,58.471027,1.726562,5.5670004,1,65,6200130,35.48840707024936
Sentinel-6A,2024-11-17 21:49:17,58.51829,1.000714,5.34,1,66,6200130,26.62168394402179
Sentinel-6A,2024-11-27 13:57:12,58.469288,1.727696,1.7960001,0,67,6200130,35.67345364084785
Sentinel-6A,2024-11-27 19:47:48,58.518867,1.001937,1.5730001,0,68,6200130,26.526777331466942
Sentinel-6A,2024-12-17 09:54:14,58.456604,1.715708,2.9650002,0,71,6200130,36.23802306864979
Sentinel-6A,2024-12-27 07:52:46,58.446983,1.690443,1.9050001,0,73,6200130,36.110153696838836
