# Credits: EU Copernicus Marine Service information - https://marine.copernicus.eu
# Product: WAVE_GLO_PHY_SWH_L3_NRT_014_001
# Dataset: cmems_obs-wave_glo_phy-swh_nrt_s6a-l3_PT1S
# Variable: Sea surface wave significant height (VAVH) m

parameter,platformId,platformType,time,longitude,latitude,depth,pressure,value,valueQc
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:25.000Z,1.29913,55.268154,0,,1.899,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:26.000Z,1.361299,55.305622,0,,1.9520001,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:27.000Z,1.423593,55.34306,0,,2.013,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:28.000Z,1.486012,55.380455,0,,2.062,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:29.000Z,1.548556,55.417816,0,,2.0960002,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:30.000Z,1.611227,55.455143,0,,2.125,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:31.000Z,1.674023,55.49243,0,,2.147,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:32.000Z,1.736946,55.529682,0,,2.1720002,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:33.000Z,1.799996,55.5669,0,,2.196,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:34.000Z,1.863173,55.604073,0,,2.209,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:35.000Z,1.926477,55.641212,0,,2.193,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:36.000Z,1.989908,55.678318,0,,2.18,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:37.000Z,2.053468,55.71538,0,,2.193,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:38.000Z,2.117156,55.75241,0,,2.206,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:39.000Z,2.180972,55.7894,0,,2.207,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:40.000Z,2.244917,55.82635,0,,2.209,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:41.000Z,2.308991,55.863262,0,,2.214,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:42.000Z,2.373194,55.90014,0,,2.2250001,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:43.000Z,2.437527,55.936977,0,,2.2410002,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:44.000Z,2.50199,55.973778,0,,2.2580001,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:45.000Z,2.566584,56.010536,0,,2.273,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:46.000Z,2.631307,56.04726,0,,2.2870002,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:47.000Z,2.696162,56.083942,0,,2.298,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:48.000Z,2.761148,56.120586,0,,2.308,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:49.000Z,2.826265,56.157192,0,,2.315,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:50.000Z,2.891513,56.19376,0,,2.3160002,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:51.000Z,2.956894,56.230286,0,,2.315,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:52.000Z,3.022407,56.266773,0,,2.3140001,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:53.000Z,3.088053,56.303223,0,,2.3270001,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:54.000Z,3.153831,56.33963,0,,2.3730001,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:55.000Z,3.219743,56.376,0,,2.437,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:56.000Z,3.285788,56.412327,0,,2.505,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:57.000Z,3.351966,56.448616,0,,2.562,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:58.000Z,3.418279,56.484867,0,,2.5900002,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:10:59.000Z,3.484726,56.521072,0,,2.595,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:00.000Z,3.551308,56.557243,0,,2.592,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:01.000Z,3.618024,56.59337,0,,2.595,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:02.000Z,3.684876,56.629456,0,,2.6130002,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:03.000Z,3.751863,56.665504,0,,2.638,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:04.000Z,3.818986,56.701508,0,,2.6660001,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:05.000Z,3.886245,56.737473,0,,2.6880002,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:06.000Z,3.953641,56.773396,0,,2.7080002,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:07.000Z,4.021173,56.809277,0,,2.743,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:08.000Z,4.088842,56.84512,0,,2.798,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:09.000Z,4.156648,56.880917,0,,2.8650002,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:10.000Z,4.224592,56.916676,0,,2.9310002,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:11.000Z,4.292673,56.95239,0,,3.0030003,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:12.000Z,4.360893,56.988064,0,,3.0740001,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:13.000Z,4.429251,57.023693,0,,3.1480002,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:14.000Z,4.497748,57.05928,0,,3.2350001,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:15.000Z,4.566383,57.09483,0,,3.3460002,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:16.000Z,4.635158,57.13033,0,,3.486,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:17.000Z,4.704073,57.16579,0,,3.6520002,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:18.000Z,4.773127,57.20121,0,,3.8360002,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:19.000Z,4.842321,57.236588,0,,4.0090003,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:20.000Z,4.911656,57.27192,0,,4.162,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:21.000Z,4.981132,57.307205,0,,4.282,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:22.000Z,5.050748,57.342453,0,,4.3640003,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:23.000Z,5.120506,57.377655,0,,4.413,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:24.000Z,5.190405,57.41281,0,,4.439,1
VAVH,Sentinel-6A,SAT,2024-01-01T09:11:25.000Z,5.260447,57.44793,0,,4.428,1
